"Time_period","Site","Temp_mean","Temp_min","Temp_max","Temp_range","VPD_mean","VPD_min","VPD_max","VPD_range"
"Month 2",9,12.1039383116883,5.68433333333333,21.541,15.8566666666667,738.407457670923,180.361706119183,1827.14671409278,1646.7850079736
"Month 11",9,12.7643663817664,7.76663333333333,19.8858666666667,12.1192333333333,NA,NA,NA,NA
"Month 12",9,9.43926747311828,4.03322580645161,17.5677096774194,13.5344838709677,NA,NA,NA,NA
"Month 1",10,10.4433333333333,6.27790322580645,15.6956774193548,9.41777419354839,248.757782052075,30.2474374379769,700.994443936287,670.74700649831
"Month 2",10,11.6857745301271,6.09128571428571,19.7045238095238,13.6132380952381,679.298139622436,218.950962469012,1536.22190306357,1317.27094059456
"Month 11",10,12.5446730769231,7.80456666666667,18.7188333333333,10.9142666666667,NA,NA,NA,NA
"Month 12",10,9.17357168458781,4.32232258064516,15.9541290322581,11.6318064516129,NA,NA,NA,NA
"Month 1",11,10.5786541218638,5.92283870967742,16.6655161290323,10.7426774193548,265.179599163778,9.18103403240731,846.106026438172,836.924992405765
"Month 2",11,11.510956586117,4.89095238095238,21.3414285714286,16.4504761904762,690.041176610113,154.56152638679,1794.60285331889,1640.0413269321
"Month 11",11,12.6686817663818,7.40376666666667,19.72,12.3162333333333,NA,NA,NA,NA
"Month 12",11,8.83048655913979,3.07748387096774,17.3274516129032,14.2499677419355,NA,NA,NA,NA
"Month 1",15,9.76500896057348,5.07496774193548,15.688935483871,10.6139677419355,197.317022596493,0,716.919627918279,716.919627918279
"Month 2",15,10.5289392135642,4.12619047619048,19.836,15.7098095238095,590.960959149127,91.8906902117582,1543.80869080543,1451.91800059367
"Month 11",15,11.8046499643875,6.56313333333333,18.5786,12.0154666666667,NA,NA,NA,NA
"Month 12",15,7.96506765232975,2.27229032258065,16.1091935483871,13.8369032258065,NA,NA,NA,NA
"Month 1",18,9.83952508960573,5.05412903225806,15.6664838709677,10.6123548387097,197.70365495491,0,701.831271998009,701.831271998009
"Month 2",18,10.2155924723425,3.6157619047619,19.2751904761905,15.6594285714286,564.783714337855,76.5074185565625,1476.81872553007,1400.31130697351
"Month 11",18,11.8265836894587,6.59613333333333,18.4252333333333,11.8291,NA,NA,NA,NA
"Month 12",18,7.71270698924731,1.80767741935484,15.8607419354839,14.053064516129,NA,NA,NA,NA
"Month 1",19,9.3285564516129,4.42022580645161,16.7847096774194,12.3644838709677,167.757754494575,0,894.18323104068,894.18323104068
"Month 2",19,8.85376623376623,2.28914285714286,21.705619047619,19.4164761904762,464.353328192069,22.2921127550635,1864.3695770021,1842.07746424703
"Month 11",19,11.2123235042735,5.7853,19.2768,13.4915,NA,NA,NA,NA
"Month 12",19,6.06523073476703,0.31058064516129,17.011064516129,16.7004838709677,NA,NA,NA,NA
"Month 1",28,10.5279094982079,6.1921935483871,16.6225161290323,10.4303225806452,241.151048160899,2.01732430077073,834.600857617661,832.58353331689
"Month 2",28,12.0654077080327,5.86180952380952,21.7258571428571,15.8640476190476,717.50363522908,162.321002095818,1759.71541785373,1597.39441575791
"Month 11",28,12.7287047008547,7.8549,20.0127666666667,12.1578666666667,NA,NA,NA,NA
"Month 12",28,9.3885855734767,4.27787096774194,16.9462903225806,12.6684193548387,NA,NA,NA,NA
"Month 1",37,10.5406379928315,6.13845161290323,16.5525161290323,10.414064516129,273.040489586667,19.5531190203285,831.34831218819,811.795193167862
"Month 2",37,12.1394911616162,5.89709523809524,21.6924285714286,15.7953333333333,746.831238247949,194.297529027256,1838.34981989948,1644.05229087223
"Month 11",37,12.7197249643875,7.7971,19.6895333333333,11.8924333333333,NA,NA,NA,NA
"Month 12",37,9.35637231182796,4.11490322580645,17.2633870967742,13.1484838709677,NA,NA,NA,NA
"Month 1",38,10.609792562724,6.22254838709677,16.8637419354839,10.6411935483871,278.464187339184,31.0253153889544,859.306825899096,828.281510510141
"Month 2",38,12.1105630774698,5.81385714285714,22.0876666666667,16.2738095238095,740.746122718267,194.9415854309,1837.39728748826,1642.45570205736
"Month 11",38,12.8213498575499,7.78103333333333,20.2586333333333,12.4776,NA,NA,NA,NA
"Month 12",38,9.60893906810036,4.18258064516129,18.1399032258064,13.9573225806452,NA,NA,NA,NA
"Month 1",43,10.6394090501792,6.91074193548387,16.8054516129032,9.89470967741936,229.961477575161,10.074134901292,933.282976357171,923.208841455879
"Month 2",43,12.3566583649214,7.47680952380952,22.3379523809524,14.8611428571429,702.810911832677,234.472281036793,1902.88236938591,1668.41008834912
"Month 11",43,12.6776046296296,8.57876666666667,20.3351666666667,11.7564,NA,NA,NA,NA
"Month 12",43,9.56777822580645,5.64848387096774,17.3386451612903,11.6901612903226,NA,NA,NA,NA
"Month 1",45,9.94924238351254,6.01935483870968,15.6634193548387,9.64406451612903,169.47581046716,0,740.863301090806,740.863301090806
"Month 2",45,10.6802218013468,5.49485714285714,19.5614761904762,14.066619047619,542.544077552668,102.787460524857,1469.02753430336,1366.24007377851
"Month 11",45,11.952988960114,7.53733333333333,18.6687333333333,11.1314,NA,NA,NA,NA
"Month 12",45,8.22025268817204,3.91829032258065,15.5827419354839,11.6644516129032,NA,NA,NA,NA
"Month 1",47,10.5607585125448,7.01167741935484,15.0989032258065,8.08722580645161,207.677819642672,12.4647519293478,634.307847855698,621.84309592635
"Month 2",47,11.9350281385281,7.39385714285714,18.2774285714286,10.8835714285714,637.907530729708,231.25655373327,1301.14114350345,1069.88458977018
"Month 11",47,12.5644980769231,8.69906666666667,17.6705,8.97143333333333,NA,NA,NA,NA
"Month 12",47,9.66060259856631,5.61954838709677,14.8563870967742,9.23683870967742,NA,NA,NA,NA
"Month 1",49,11.2114614695341,6.86003225806452,18.3697419354839,11.5097096774194,320.249778283367,15.44878684114,1122.36821509258,1106.91942825144
"Month 2",49,13.110210021322,7.08557142857143,22.972,15.8864285714286,830.738715410142,245.035113457387,2021.60426113194,1776.56914767455
"Month 11",49,13.4752863247863,8.5243,21.9487,13.4244,NA,NA,NA,NA
"Month 12",49,10.5443369175627,5.274,19.9522580645161,14.6782580645161,NA,NA,NA,NA
"Month 1",51,10.024269265233,5.65216129032258,14.929064516129,9.27690322580645,190.077428333087,0,608.641211406868,608.641211406868
"Month 2",51,11.0320572390572,4.99604761904762,18.3027619047619,13.3067142857143,593.958471781993,115.063408905352,1333.22217368099,1218.15876477564
