PlateID,LichenID,TeamID,Thallus_location,Infected,Lichen_mass_mg,Frac_extract,Init_vol_ml,Dilution_factor,Plate_vol_ml,Incubation_days,Incubation_temp_C,Num_colonies,Num_morphotypes,Notes,Exclude,Verified
W17-T1-L2-P2,W17-T1-L2,W17-4,internal,,31.2,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T1-L3-P1,W17-T1-L3,W17-4,external,,15.6,0.8,1,1,0.1,14,22,245,5,,,TRUE
W17-T1-L3-P2,W17-T1-L3,W17-4,internal,,15.6,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T19-L1-P1,W17-T19-L1,W17-4,external,,13,0.8,1,1,0.1,14,22,173,5,,,TRUE
W17-T19-L1-P2,W17-T19-L1,W17-4,internal,,13,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T19-L2-P1,W17-T19-L2,W17-4,external,,4.3,0.8,1,1,0.1,14,22,104,5,,,TRUE
W17-T19-L2-P2,W17-T19-L2,W17-4,internal,,4.3,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T19-L3-P1,W17-T19-L3,W17-4,external,,4.5,0.8,1,1,0.1,14,22,268,2,,,TRUE
W17-T19-L3-P2,W17-T19-L3,W17-4,internal,,4.5,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T11-L1-P1,W17-T11-L1,W17-5,internal,FALSE,54,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T11-L1-P2,W17-T11-L1,W17-5,internal,TRUE,75,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T15-L1-P1,W17-T15-L1,W17-5,external,,9.3,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T15-L1-P2,W17-T15-L1,W17-5,internal,,9.3,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T15-L2-P1,W17-T15-L2,W17-5,external,,15.2,0.8,1,1,0.1,14,22,19,2,,,TRUE
W17-T15-L2-P2,W17-T15-L2,W17-5,internal,,15.2,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T15-L4-P1,W17-T15-L4,W17-5,internal,FALSE,50,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T15-L4-P2,W17-T15-L4,W17-5,internal,TRUE,76,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T20-L1-P1,W17-T20-L1,W17-5,internal,FALSE,37,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T20-L1-P2,W17-T20-L1,W17-5,internal,TRUE,17,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T26-L1-P1,W17-T26-L1,W17-5,external,,5.8,0.8,1,1,0.1,14,22,18,1,,,TRUE
W17-T26-L1-P2,W17-T26-L1,W17-5,internal,,5.8,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T26-L2-P1,W17-T26-L2,W17-5,external,,7,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T26-L2-P2,W17-T26-L2,W17-5,internal,,7,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T26-L3-P1,W17-T26-L3,W17-5,external,,12.9,0.8,1,1,0.1,14,22,2760,2,,,TRUE
W17-T26-L3-P2,W17-T26-L3,W17-5,internal,,12.9,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T26-L4-P1,W17-T26-L4,W17-5,internal,FALSE,10,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T26-L4-P2,W17-T26-L4,W17-5,internal,TRUE,67,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T3-L1-P1,W17-T3-L1,W17-5,internal,FALSE,40,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T3-L1-P2,W17-T3-L1,W17-5,internal,TRUE,69,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T35-L1-P1,W17-T35-L1,W17-5,internal,FALSE,52,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T35-L1-P2,W17-T35-L1,W17-5,internal,TRUE,67,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T12-L1-P1,W17-T12-L1,W17-6,internal,FALSE,74,0.8,1,1,0.1,14,22,4,3,,,TRUE
W17-T12-L1-P2,W17-T12-L1,W17-6,internal,TRUE,68.2,0.8,1,1,0.1,14,22,6,2,,,TRUE
W17-T16-L1-P1,W17-T16-L1,W17-6,external,,30,0.8,1,1,0.1,14,22,9,3,,,TRUE
W17-T16-L1-P2,W17-T16-L1,W17-6,internal,,30,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T16-L2-P1,W17-T16-L2,W17-6,external,,30,0.8,1,1,0.1,14,22,6,3,,,TRUE
W17-T16-L2-P2,W17-T16-L2,W17-6,internal,,30,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T16-L3-P1,W17-T16-L3,W17-6,external,,40,0.8,1,1,0.1,14,22,12,3,,,TRUE
W17-T16-L3-P2,W17-T16-L3,W17-6,internal,,40,0.8,1,1,0.1,14,22,2,2,,,TRUE
W17-T16-L4-P1,W17-T16-L4,W17-6,internal,FALSE,6.01,0.8,1,1,0.1,14,22,2,2,,,TRUE
W17-T16-L4-P2,W17-T16-L4,W17-6,internal,TRUE,51.2,0.8,1,1,0.1,14,22,16,3,,,TRUE
W17-T27-L1-P1,W17-T27-L1,W17-6,external,,16,0.8,1,1,0.1,14,22,4,2,,,TRUE
W17-T27-L1-P2,W17-T27-L1,W17-6,internal,,16,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T27-L2-P1,W17-T27-L2,W17-6,external,,50,0.8,1,1,0.1,14,22,92,3,,,TRUE
W17-T27-L2-P2,W17-T27-L2,W17-6,internal,,50,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T27-L3-P1,W17-T27-L3,W17-6,external,,80,0.8,1,1,0.1,14,22,8,2,,,TRUE
