"TeamID","PlateID","EcoplateID","Sample.ID","Read.ID","Plate","Day","DayNumber","Pyruvic.Acid.Methyl.Ester","Tween.40","Tween.80","alpha.Cyclodextrin","Glycogen","D.Cellobiose","alpha.D.Lactose","beta.Methyl.D.Glucoside","D.Xylose","i.Erythritol","D.Mannitol","N.Acetyl.D.Glucosamine","D.Glucosaminic.Acid","Glucose.1.Phosphate","alpha.Glycerol.Phosphate","D.Galactonic.Acid.gamma.Lactone","D.Galacturonic.Acid","X2.Hydroxy.Benzoic.Acid","X4.Hydroxy.Benzoic.Acid","gamma.Hydroxybutyric.Acid","Itaconic.Acid","alpha.Ketobutyric.Acid","D.Malic.Acid","L.Arginine","L.Asparagine","L.Phenylalanine","L.Serine","L.Threonine","Glycyl.L.Glutamic.Acid","Phenylethyl.amine","Putrescine","LichenID","Thallus_location","Infected","Lichen_mass_mg","Frac_extract","Init_vol_ml","Dilution_factor","Plate_vol_ml","Incubation_days","Incubation_temp_C","Num_colonies","Num_morphotypes","Notes","Exclude","Verified"
"W17-1","W17-T36-L1-P2","W17-1-E1","Sample_1","Team-1_Plate-1_Day-12","Plate-1","Day-12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,NA,NA,NA,NA,NA,NA,NA,0.012,0.006,NA,NA,NA,NA,NA,NA,"W17-T36-L1","internal",NA,13,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T36-L2-P1","W17-1-E2","Sample_2","Team-1_Plate-2_Day-12","Plate-2","Day-12",12,0.242,0.797,0.648,NA,0.244,0.823,0.361,0.052,0.589,0.564,0.396,0.554,NA,NA,NA,0.016,0.178,0.03,0.138,NA,NA,NA,NA,0.001,0.031,0.025,NA,NA,NA,NA,NA,"W17-T36-L2","external",NA,129,0.8,1,1,0.1,14,22,7,1,"",NA,TRUE
"W17-1","W17-T36-L2-P2","W17-1-E1","Sample_2","Team-1_Plate-1_Day-12","Plate-1","Day-12",12,NA,NA,NA,NA,NA,NA,NA,NA,0.055,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA,"W17-T36-L2","internal",NA,129,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T36-L3-P1","W17-1-E2","Sample_3","Team-1_Plate-2_Day-12","Plate-2","Day-12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,NA,NA,NA,NA,NA,0.082,NA,0.194,NA,NA,NA,NA,"W17-T36-L3","external",NA,5.3,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T36-L3-P2","W17-1-E1","Sample_3","Team-1_Plate-1_Day-12","Plate-1","Day-12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W17-T36-L3","internal",NA,5.3,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T36-L4-P1","W17-1-E5","Sample_2","Team-1_Plate-5_Day-11","Plate-5","Day-11",11,0.196,NA,NA,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261,NA,NA,NA,NA,"W17-T36-L4","internal",FALSE,55,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T36-L4-P2","W17-1-E7","Sample_1","Team-1_Plate-7_Day-11","Plate-7","Day-11",11,0.574,0.55,0.263,NA,0.656,NA,NA,0.045,1.168,0.475,0.608,0.435,0.651,NA,NA,1.08,0.936,NA,NA,NA,0.761,NA,0.598,0.717,NA,NA,0.484,NA,0.581,NA,0.141,"W17-T36-L4","internal",TRUE,52,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T37-L1-P1","W17-1-E6","Sample_2","Team-1_Plate-6_Day-11","Plate-6","Day-11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W17-T37-L1","internal",FALSE,52,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T37-L1-P2","W17-1-E7","Sample_2","Team-1_Plate-7_Day-11","Plate-7","Day-11",11,1.165,0.353,NA,NA,NA,NA,NA,NA,NA,NA,0.272,0.277,0.204,NA,NA,1.072,0.192,NA,1.868,NA,NA,NA,0.364,0.321,0.238,NA,NA,NA,0.061,NA,0.396,"W17-T37-L1","internal",TRUE,48,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T6-L1-P1","W17-1-E6","Sample_1","Team-1_Plate-6_Day-11","Plate-6","Day-11",11,NA,NA,NA,NA,NA,NA,NA,0.038,NA,NA,NA,NA,NA,NA,NA,0.051,NA,NA,NA,NA,NA,NA,NA,0.079,0.022,NA,NA,NA,NA,NA,NA,"W17-T6-L1","internal",FALSE,46,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T6-L1-P2","W17-1-E8","Sample_2","Team-1_Plate-8_Day-11","Plate-8","Day-11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W17-T6-L1","internal",TRUE,53,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-2","W17-T22-L1-P1","W17-2-E7","Sample_2","Team-2_Plate-7_Day-11","Plate-7","Day-11",11,0.014,0.029,0.017,NA,NA,NA,NA,0.085,0.03,0.012,0.087,0.083,NA,NA,NA,0.104,0.129,0.052,0.033,0.022,NA,NA,NA,0.121,0.071,0.009,0.005,0.016,0.001,NA,NA,"W17-T22-L1","internal",FALSE,58,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-2","W17-T22-L1-P2","W17-2-E5","Sample_2","Team-2_Plate-5_Day-11","Plate-5","Day-11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033,NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,"W17-T22-L1","internal",TRUE,68,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-2","W17-T25-L1-P1","W17-2-E3","Sample_1","Team-2_Plate-3_Day-12","Plate-3","Day-12",12,NA,NA,NA,NA,NA,NA,NA,0.037,NA,NA,NA,NA,NA,NA,NA,0.023,NA,NA,NA,NA,NA,NA,NA,0.049,0.005,0.039,NA,NA,NA,NA,NA,"W17-T25-L1","external",NA,10.8,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-2","W17-T25-L1-P2","W17-2-E4","Sample_1","Team-2_Plate-4_Day-12","Plate-4","Day-12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W17-T25-L1","internal",NA,10.8,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-2","W17-T25-L2-P1","W17-2-E3","Sample_2","Team-2_Plate-3_Day-12","Plate-3","Day-12",12,NA,NA,NA,NA,NA,NA,NA,0.039,NA,NA,NA,NA,NA,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA,0.039,NA,NA,NA,NA,NA,NA,NA,"W17-T25-L2","external",NA,8,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-2","W17-T25-L2-P2","W17-2-E4","Sample_2","Team-2_Plate-4_Day-12","Plate-4","Day-12",12,NA,0.071,0.016,NA,NA,NA,NA,0.018,0.036,NA,0.041,NA,NA,NA,NA,0.018,NA,NA,NA,0.037,NA,NA,NA,0.033,NA,NA,NA,NA,NA,NA,NA,"W17-T25-L2","internal",NA,8,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-2","W17-T25-L3-P1","W17-2-E3","Sample_3","Team-2_Plate-3_Day-12","Plate-3","Day-12",12,NA,NA,NA,NA,NA,NA,NA,0,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063,NA,0.081,NA,NA,NA,"W17-T25-L3","external",NA,21.3,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
